Date,Adj Close,inflation
1/1/13,3142.129883,1
2/1/13,3160.189941,1.01
3/1/13,3267.52002,1.01
4/1/13,3328.790039,1.01
5/1/13,3455.909912,1.01
6/1/13,3403.25,1.01
7/1/13,3626.370117,1.01
8/1/13,3589.870117,1.02
9/1/13,3771.47998,1.02
10/1/13,3919.709961,1.01
11/1/13,4059.889893,1.01
12/1/13,4176.589844,1.01
1/1/14,4103.879883,1.02
2/1/14,4308.120117,1.02
3/1/14,4198.990234,1.03
4/1/14,4114.560059,1.03
5/1/14,4242.620117,1.03
6/1/14,4408.180176,1.04
7/1/14,4369.77002,1.03
8/1/14,4580.27002,1.03
9/1/14,4493.390137,1.03
10/1/14,4630.740234,1.03
11/1/14,4791.629883,1.03
12/1/14,4736.049805,1.02
1/1/15,4635.240234,1.01
2/1/15,4963.529785,1.02
3/1/15,4900.879883,1.03
4/1/15,4941.419922,1.03
5/1/15,5070.029785,1.03
6/1/15,4986.870117,1.04
7/1/15,5128.279785,1.04
8/1/15,4812.709961,1.03
9/1/15,4620.160156,1.03
10/1/15,5053.75,1.03
11/1/15,5108.669922,1.03
12/1/15,5007.410156,1.03
1/1/16,4613.950195,1.03
2/1/16,4557.950195,1.03
3/1/16,4869.850098,1.03
4/1/16,4775.359863,1.04
5/1/16,4948.049805,1.04
6/1/16,4842.669922,1.05
7/1/16,5162.129883,1.04
8/1/16,5213.220215,1.05
9/1/16,5312,1.05
10/1/16,5189.140137,1.05
11/1/16,5323.680176,1.05
12/1/16,5444.5,1.05
1/1/17,5614.790039,1.05
2/1/17,5825.439941,1.06
3/1/17,5911.740234,1.06
4/1/17,6047.609863,1.06
5/1/17,6198.52002,1.06
6/1/17,6140.419922,1.06
7/1/17,6348.120117,1.06
8/1/17,6428.660156,1.07
9/1/17,6495.959961,1.07
10/1/17,6727.669922,1.07
11/1/17,6873.970215,1.07
12/1/17,6903.390137,1.07
1/1/18,7411.47998,1.08
2/1/18,7273.009766,1.08